model_name,mean,std
logistic_regression_no_regularization,0.8248948590797817,0.018594718965265905
logreg_elasticnet,0.8316301550436256,0.014575168342936493
logreg_l1,0.8316364321134895,0.013367148866556048
logreg_l2,0.8282593685267716,0.01738494814942745
