model_name,model_type,fold,params,metric,score
dnn_mlp_h16_relu,pytorch,0,"{'architecture': 'mlp', 'hidden_dim': 16, 'activation': 'relu', 'output_dim': 2}",accuracy,0.6214689265536724
dnn_mlp_h16_relu,pytorch,1,"{'architecture': 'mlp', 'hidden_dim': 16, 'activation': 'relu', 'output_dim': 2}",accuracy,0.6105263157894737
dnn_mlp_h16_relu,pytorch,2,"{'architecture': 'mlp', 'hidden_dim': 16, 'activation': 'relu', 'output_dim': 2}",accuracy,0.7108433734939759
dnn_mlp_h16_relu,pytorch,3,"{'architecture': 'mlp', 'hidden_dim': 16, 'activation': 'relu', 'output_dim': 2}",accuracy,0.6108108108108108
dnn_mlp_h16_relu,pytorch,4,"{'architecture': 'mlp', 'hidden_dim': 16, 'activation': 'relu', 'output_dim': 2}",accuracy,0.5375722543352601
