model_name,mean,std
rf_100_depth_4_leaf_1,0.8267204675540991,0.03388008721639841
rf_100_depth_4_leaf_2,0.8267204675540991,0.03388008721639841
rf_100_depth_4_leaf_3,0.8234591350320425,0.033609180796216324
rf_100_depth_4_leaf_4,0.8234852608933796,0.03136783227745651
rf_100_depth_5_leaf_1,0.8283045380018133,0.0375801117827651
rf_100_depth_5_leaf_2,0.8328014629439087,0.03882721915201174
rf_100_depth_5_leaf_3,0.8350124875278147,0.03864313893579286
rf_100_depth_5_leaf_4,0.8267489170562328,0.032441030760068795
rf_100_depth_6_leaf_1,0.8251646200349873,0.03983777640589188
rf_100_depth_6_leaf_2,0.8262921273882183,0.04317830945769916
rf_100_depth_6_leaf_3,0.8296819578966929,0.04202424383496142
rf_100_depth_6_leaf_4,0.8284281636890434,0.04379611530481713
rf_100_depth_7_leaf_1,0.8192440739434568,0.024459672634184706
rf_100_depth_7_leaf_2,0.8251648450525817,0.03331673041896404
rf_100_depth_7_leaf_3,0.8228787196767978,0.03836629576819167
rf_100_depth_7_leaf_4,0.8295582197006655,0.039536542843738934
