model_name,mean,std
xgb_100_lr_005_depth_2,0.8228991325964078,0.040603774706330614
xgb_100_lr_005_depth_3,0.8196070269314208,0.042845522516762435
xgb_200_lr_005_depth_2,0.8205383564639348,0.038138702830941514
xgb_200_lr_005_depth_3,0.8158973929149991,0.030551186835687125
xgb_300_lr_005_depth_2,0.8193335371868263,0.03658693018703901
xgb_300_lr_005_depth_3,0.8226435071130324,0.04286599381512442
xgb_500_lr_005_depth_2,0.8247285823689113,0.03784479335981961
xgb_500_lr_005_depth_3,0.8183581050229594,0.03702978334281226
xgb_50_lr_005_depth_2,0.8223757303101648,0.03324635705266471
xgb_50_lr_005_depth_3,0.828353400423557,0.037681755317222045
