model_name,mean,std
knn_k11_distance_euclidean,0.8184344964925652,0.03004520405275414
knn_k11_uniform_euclidean,0.8255775305333062,0.03178860759677205
knn_k11_uniform_manhattan,0.8236790304370432,0.03309209792580573
knn_k13_distance_euclidean,0.8195359904932562,0.03353514836537625
knn_k13_uniform_euclidean,0.8166370778436554,0.03714293351530866
knn_k13_uniform_manhattan,0.8090391571689851,0.03682383131460233
knn_k3_distance_euclidean,0.7880605392297028,0.04015071772655817
knn_k3_uniform_euclidean,0.7926313867947454,0.03441710887407431
knn_k5_distance_euclidean,0.8051369317778304,0.020776510265073756
knn_k5_distance_manhattan,0.7953041842987141,0.016591505829067637
knn_k5_uniform_euclidean,0.8017460356092224,0.025430582260171673
knn_k7_distance_euclidean,0.8137493178034791,0.017248561389407273
knn_k7_distance_manhattan,0.8169275129511341,0.02718433822414687
knn_k7_uniform_euclidean,0.8116510255679745,0.019482097892752695
knn_k7_uniform_manhattan,0.8059386961078558,0.021938687434706203
