model_name,mean,std
lgbm_100_lr_005_depth_4_leaves_16,0.8229229348169481,0.040304315206433856
lgbm_100_lr_005_depth_5_leaves_32,0.8248604696562596,0.03218525453871778
lgbm_200_lr_005_depth_4_leaves_16,0.8190552876518412,0.035095469767635765
lgbm_200_lr_005_depth_5_leaves_32,0.817225950388135,0.034820483059761625
lgbm_300_lr_005_depth_4_leaves_16,0.8150458114559566,0.031355826273786545
lgbm_300_lr_005_depth_5_leaves_32,0.8175043124319172,0.03669274182738332
lgbm_500_lr_005_depth_4_leaves_16,0.8160984430349039,0.032343263215553156
lgbm_500_lr_005_depth_5_leaves_32,0.819589275178999,0.0328325532230995
lgbm_50_lr_005_depth_4_leaves_16,0.8248317951365316,0.03974277270226739
lgbm_50_lr_005_depth_5_leaves_32,0.8272415461995456,0.040109255844700285
lgbm_800_lr_005_depth_4_leaves_16,0.8110722903560413,0.034104564677616585
lgbm_800_lr_005_depth_5_leaves_32,0.8158453662099194,0.033805720434239316
